"";"A.Sapkowski_Miecz_przeznaczenia_fragment";"A.Sapkowski_Ostatnie_¿yczenie_fragment";"A.Sapkowski_Pani_Jeziora_fragment";"A.Sapkowski_Wie¿a_Jaskó³ki_fragment";"Bhagawatam_Œrimad_Damodara_lila_fragment";"C.Sagan_Kontakt_fragment";"C.Sagan_Kontakt_fragment2";"C.Sagan_Miliardy_Miliardy";"C.Sagan_Swiat_nawiedzany_przez_demony_fragment";"J.R.R.Tolkien_Dwie-Wie¿e_fragment";"J.R.R.Tolkien_Hobbit_fragment";"J.R.R.Tolkien_Powrót-Króla_fragment";"J.R.R.Tolkien_Wyprawa_frament";"Komentarz_do_Ewangelii_wg_Œw._Mateusza_fragment";"£.Siatkowski_Opowieœci_biblijne_fragment";"P.Skarga_¯ywoty_Pañskich_Œwiêtych";"S.Lem_Czlowiek_z_Marsa_fragment";"S.Lem_Odruch_warunkowy";"S.Lem_Pokoj_na_Ziemi_fragment";"S.Lem_Powrot_z_Gwiazd_frament"
"niedostatek";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"niego";1;2;0;2;3;0;0;0;0;0;0;0;0;1;9;2;0;0;0;0
"niektóry";0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"niemu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
"niewiele";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"nigdy";0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
"nikt";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
"niski";0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"noc";0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0
"obce";0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1
"obecny";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"obj¹æ";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"obóz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"obu";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"ockn¹æ";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"oczach";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"oczami";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"oczu";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"oczy";0;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2
"oczywisty";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"odnaleŸæ";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
"odpocz¹æ";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"odpowiadaæ";2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"odpowiedzialnoœæ";0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"odpowiedzieæ";0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
"odrzuciæ";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"odwróciæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"ofiara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0
"ogarn¹æ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"ogieñ";0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
"ogóle";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
"ogromny";0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"ojciec";0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0
"okazywaæ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"okropny";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"ona";0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"oni";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"opowiadaæ";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"opowieœæ";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"oprzeæ";0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
"opuœciæ";1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
"osi¹gn¹æ";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"osoba";0;0;0;0;0;6;0;1;2;0;0;0;0;0;0;2;0;0;0;0
"ostateczny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"ostatni";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;1
"ostro¿ny";0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"otch³añ";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"otoczyæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"owca";0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0
"owiec";0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
"o¿ywiæ";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"pacjent";0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"pana";0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
"panie";0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0
"panu";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"pañski";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"parê";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"patrzyæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"pe³nia";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"pe³ny";0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"pewne";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"pewnego";0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"pewny";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"piasek";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"pierœ";0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pierwszy";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1
"pies";0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"piêkny";0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"pi³a";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"plan";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"pla¿a";1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"p³yn¹æ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"pochodnia";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"pochodziæ";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"poci¹gn¹æ";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"pocz¹æ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"poczuæ";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"podobny";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"podstawowy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"podwórze";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"poganin";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"pokazaæ";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"pokonaæ";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"pokój";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0
"pokryæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"pole";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"polegaæ";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"po³o¿yæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"pomiêdzy";0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
"pomyœleæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"pora";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"poruszaæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
"poruszyæ";0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"porz¹dku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"pos³anie";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"pos³aniec";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0
"postanowiæ";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"postawiæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"postrzegaæ";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"posuwaæ";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"poszed³";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"poœród";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"poœwiêciæ";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"potem";0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;0;0;0
"powa¿ny";0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
"powiedzieæ";0;0;0;1;0;0;0;0;0;0;1;0;1;0;5;1;2;0;0;2
"powierzchnia";0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"powoli";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"powód";0;0;0;1;1;0;0;1;2;0;0;0;0;0;3;0;0;0;0;0
"powsta³y";0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
"pozostaæ";0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0
"pozwalaæ";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"pozwoliæ";0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"pójœæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"pó³noc";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0
"praca";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pragn¹æ";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"prawa";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"prawdopodobny";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"prawdziwy";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"prosiæ";0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0
"prostu";1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
"próbowaæ";0;0;0;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"próbuj¹c";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przecie¿";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0
"przeciw";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0
"przeciwko";0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0
"przeciwnik";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"przedstawiaæ";0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przedstawiæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"przekonaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"przemóc";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"przestaæ";0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0
"przewróciæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"przyci¹gn¹æ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"przygotowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"przyjemne";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"przyjœæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"przypadek";0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"przypominaæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"przysz³y";0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
"psychiatra";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"ptak";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"puœciæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"pytanie";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"raczej";0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"radosny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"radoœæ";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
"ramiê";0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"raz";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2
"razem";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"rêka";0;0;0;2;0;0;1;0;0;0;1;0;0;0;8;0;1;0;0;4
"roboty";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"rodzaj";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"rozbiæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"rozmawiaæ";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"rozpoznawaæ";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"rozwa¿aæ";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0
"ród";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"równia";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"ró¿ny";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"ruch";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ruszyæ";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ryba";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"rzecz";0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"rzeczywistoœæ";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"rzek³";0;0;0;2;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
"rzekomy";0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0
"rzuciæ";0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0;0;0;0;0
"sam";0;0;1;0;0;0;0;0;0;1;1;2;0;0;2;0;0;0;0;1
"sama";0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"sami";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"sceptyczny";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"schody";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"seksualny";0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"senny";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"serce";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1
"siebie";0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"siedzenie";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"siedzieæ";0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;1;1;0
"silny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"si³a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
"siwy";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"ska³a";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"skierowaæ";0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"skoñczony";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"skóra";0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"skraj";0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"s³oñce";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"s³owo";1;0;0;0;0;0;1;0;0;0;2;0;0;1;3;0;2;0;0;0
"s³uchaæ";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"s³uga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0
"s³up";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"s³yszeæ";0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"smok";0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"smutek";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"sob¹";0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0
"spod";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"spokojny";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sposób";0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"spoœród";0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
"sprawa";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"sprawiæ";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"sprzymierzeniec";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"srebrny";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"staæ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;4
"stan";1;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;1;0;0;0
"stanowiæ";0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0
"stola";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
"stopieñ";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"stó³";0;0;1;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0
"strach";0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
"strona";0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;1;1;1;1;1
"stworzyæ";0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
"suknia";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"swe";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"swego";0;0;0;0;3;0;0;0;0;0;0;0;0;1;7;2;0;0;0;0
"swej";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"swoich";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"swoim";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"swoj¹";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"swój";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
"swych";0;0;0;0;2;1;0;2;1;0;0;0;0;0;1;1;0;0;0;0
"swym";0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0
"syn";0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0
"syna";0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"synu";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"szcz¹tek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"szczególny";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
"szczyt";0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"szko³a";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"sztywno";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"szukaæ";0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"szybki";0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"œciana";0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"œmieræ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"œmiertelny";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"œwiadek";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
"œwiata";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
"œwiat³o";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"tabliczka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"taki";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"teatr";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"teoria";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"terapeuta";0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"t³umaczyæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"trochê";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
"trwaæ";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
"trzech";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"trzeci";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"trzej";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"trzy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
"trzymaæ";1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"tu¿";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"twardy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"twarz";0;3;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2
"twego";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
"twoja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
"twoje";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"twój";0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0
"twych";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"tygodniu";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"tyle";0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0
"ty³";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"tysi¹c";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"uciekaæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"uczucie";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"uczyniæ";0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0
"udaæ";0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
"ujrzeæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0
"unieœæ";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"unikaæ";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"upomnieæ";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"urodziæ";0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"usta";0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
"uszu";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"uœmiechn¹æ";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uwaga";0;0;0;1;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
"uwa¿aæ";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"uzyskaæ";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"u¿yæ";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"walka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
"wam";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
"warga";0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"was";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
"wci¹¿";0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0
"wed³ug";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0
"wejœæ";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
"widoczny";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"widok";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
