"";"A.Sapkowski_Miecz_przeznaczenia_fragment";"A.Sapkowski_Ostatnie_¿yczenie_fragment";"A.Sapkowski_Pani_Jeziora_fragment";"A.Sapkowski_Wie¿a_Jaskó³ki_fragment";"Bhagawatam_Œrimad_Damodara_lila_fragment";"C.Sagan_Kontakt_fragment";"C.Sagan_Kontakt_fragment2";"C.Sagan_Miliardy_Miliardy";"C.Sagan_Swiat_nawiedzany_przez_demony_fragment";"J.R.R.Tolkien_Dwie-Wie¿e_fragment";"J.R.R.Tolkien_Hobbit_fragment";"J.R.R.Tolkien_Powrót-Króla_fragment";"J.R.R.Tolkien_Wyprawa_frament";"Komentarz_do_Ewangelii_wg_Œw._Mateusza_fragment";"£.Siatkowski_Opowieœci_biblijne_fragment";"P.Skarga_¯ywoty_Pañskich_Œwiêtych";"S.Lem_Czlowiek_z_Marsa_fragment";"S.Lem_Odruch_warunkowy";"S.Lem_Pokoj_na_Ziemi_fragment";"S.Lem_Powrot_z_Gwiazd_frament"
"albowiem";0,0701786049786207;0;0;0;0;0;0;0;0;0;0;0;0,118998504094183;0;0,0262328970686857;0;0;0;0;0
"bardziej";0;0;0;0,021978021978022;0;0,0384615384615385;0;0;0,0689655172413793;0;0;0;0;0,126984126984127;0;0,0470588235294118;0;0;0;0
"bia³ych";0;0;0;0;0;0;0;0;0;0;0,0377491828964473;0;0;0;0;0,0390815069986748;0;0;0;0
"biegaæ";0;0;0;0,0365047043394216;0,0299272801341204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bioder";0;0,0754983657928946;0;0;0,0299272801341204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blisko";0;0;0;0;0,0209182711251114;0;0;0;0;0;0;0;0;0;0;0,0273168011163219;0;0,0494027254231354;0;0,036280126482615
"boga";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0424527552062283;0,0781630139973497;0;0;0;0
"bo¿e";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0318395664046712;0,0390815069986748;0;0;0;0
"brzeg";0;0;0,0408502327487493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0448682884289542;0,0855301748176939
"brzegu";0,0701786049786207;0;0,0408502327487493;0;0;0;0;0;0;0;0;0,109478623766648;0;0;0;0;0;0;0;0
"brzmi¹cym";0,0851776434586503;0;0;0;0;0;0;0;0;0;0,0377491828964473;0;0;0;0;0;0;0;0;0
"ca³a";0;0;0;0;0,024657347695191;0;0;0;0;0;0;0;0;0,0434438983200985;0;0;0;0,0582333105141746;0;0
"ca³ego";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0527290173791645;0,0318395664046712;0;0;0;0;0
"ca³y";0;0;0;0;0,024657347695191;0;0;0,0337896986934099;0;0;0;0;0;0;0,0262328970686857;0;0;0;0;0
"chêci¹";0;0;0;0;0;0,0638832325939877;0;0,0410114579615724;0;0;0;0;0;0;0;0;0;0;0;0
"ch³odnym";0,0851776434586503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,051905126482615
"chocia¿";0;0;0;0;0,0299272801341204;0;0;0;0;0;0;0;0;0;0;0;0;0;0,108915675242209;0
"choæby";0;0;0;0;0;0;0,0684241398541552;0,0337896986934099;0;0;0;0;0;0;0;0;0,0536659920424746;0;0;0
"chodzi";0;0;0,0495810163416024;0;0;0;0;0;0;0;0;0;0;0;0;0;0,195407534993374;0;0;0
"chwilê";0;0;0;0;0;0;0;0;0;0,107158970802818;0;0,132877123795494;0;0;0;0;0;0;0;0
"cicho";0;0,0622037635037774;0;0,0300765449908374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,042765087408847
"ciebie";0;0;0;0;0;0;0,166096404744368;0;0;0;0;0;0;0;0,0318395664046712;0;0;0;0;0
"ciemne";0;0,0622037635037774;0,0408502327487493;0;0;0;0;0;0;0;0;0,109478623766648;0;0;0;0;0;0;0;0
"ciemno";0;0;0;0;0;0;0;0;0;0;0,0311018817518887;0,109478623766648;0;0;0;0;0;0;0;0,0855301748176939
"ciê";0;0;0;0,0255156933504106;0;0;0,116096404744368;0;0;0;0;0;0;0,0368560015061486;0,00741830062264333;0;0;0;0;0
"cokolwiek";0;0;0;0;0,024657347695191;0;0,0684241398541552;0;0;0;0;0;0;0;0;0;0;0;0;0,042765087408847
"czarnego";0;0;0;0,0365047043394216;0;0;0;0;0;0;0,0377491828964473;0;0;0;0;0;0;0;0;0
"czas";0,0512820512820513;0;0;0,021978021978022;0,018018018018018;0;0;0;0;0;0;0;0;0;0,00638977635782748;0;0;0,0851063829787234;0;0
"czasie";0;0;0;0;0,024657347695191;0;0;0,0337896986934099;0;0;0;0;0;0;0,00874429902289523;0;0;0;0;0
"czasu";0;0;0;0;0;0;0,0684241398541552;0;0;0;0;0;0;0;0;0,0321995952254848;0;0,116466621028349;0;0
"czerwone";0;0;0;0;0,0299272801341204;0;0;0;0;0;0,0377491828964473;0;0;0;0;0;0;0;0;0
"czêœæ";0;0;0,0495810163416024;0;0;0;0;0,0410114579615724;0;0;0;0;0;0;0;0;0;0;0;0
"cz³owiek";0;0;0;0;0;0;0,0580482023721841;0,0286657789492267;0;0;0;0;0;0;0,02225490186793;0;0;0,0494027254231354;0;0
"cz³owieka";0;0;0;0,0300765449908374;0;0;0;0;0;0;0;0;0;0,0434438983200985;0,00874429902289523;0;0;0;0;0
"czterdzieœci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0106131888015571;0;0;0,0706793211678162;0;0
"cztery";0;0;0;0;0;0;0;0;0;0;0,0377491828964473;0;0;0,0527290173791645;0;0;0;0;0;0
"czym";0,0512820512820513;0;0,0298507462686567;0;0;0;0;0;0,0344827586206897;0;0,0227272727272727;0;0;0;0,00638977635782748;0;0;0;0;0
"dalej";0;0;0;0;0;0;0,0684241398541552;0;0;0;0;0;0;0,0434438983200985;0;0;0;0;0,0448682884289542;0
